"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","64.60","66.40","65.47","65.91","RMA"
"Canadian Dollar (CAD)","CAD","65.90","67.75","66.8","67.28","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.48","14.58","RMA"
"OEuro (EURO)","EUR","106.80","109.75","108.23","108.97","RMA"
"Hongkong Dollar (HKD)","HKD","11.95","12.30","12.11","12.2","RMA"
"Japanese Yen 100 (JPY)","JPY","57.60","59.25","58.39","58.81","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.56","9.63","RMA"
"Pound Sterling (GBP)","GBP","124.20","127.65","125.87","126.73","RMA"
"Singapore Dollar (SGD)","SGD","72.30","74.35","73.25","73.8","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.75","9.82","RMA"
"Swiss Franc (CHF)","CHF","115.65","118.95","117.23","118.08","RMA"
"US Dollar (USD)","USD","93.85","96.75","95.02","95.68","RMA"
