"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","58.70","60.30","59.48","59.88","RMA"
"Canadian Dollar","CAD","64.45","66.25","65.33","65.79","RMA"
"Danish Kroner","DKK","-","-","14.12","14.22","RMA"
"OEuro","EUR","104.15","107.05","105.54","106.27","RMA"
"Hongkong Dollar","HKD","11.40","11.75","11.57","11.65","RMA"
"Japanese Yen 100","JPY","56.95","58.55","57.74","58.15","RMA"
"Norwegian Kroner","NOK","-","-","8.82","8.9","RMA"
"Pound Sterling","GBP","118.60","121.90","120.2","121.0","RMA"
"Singapore Dollar","SGD","68.75","70.75","69.69","70.22","RMA"
"Swedish Kroner","SEK","-","-","9.67","9.74","RMA"
"Swiss Franc","CHF","111.50","114.65","113.01","113.85","RMA"
"US Dollar","USD","88.90","91.70","90.04","90.67","RMA"
