"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","65.20","67.00","66.07","66.51","RMA"
"Canadian Dollar (CAD)","CAD","67.20","69.10","68.13","68.62","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.45","14.55","RMA"
"OEuro (EURO)","EUR","106.55","109.50","107.98","108.71","RMA"
"Hongkong Dollar (HKD)","HKD","11.75","12.10","11.93","12.01","RMA"
"Japanese Yen 100 (JPY)","JPY","58.05","59.70","58.86","59.27","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.78","9.87","RMA"
"Pound Sterling (GBP)","GBP","123.45","126.90","125.14","125.98","RMA"
"Singapore Dollar (SGD)","SGD","72.00","74.10","73.0","73.55","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.02","10.09","RMA"
"Swiss Franc (CHF)","CHF","116.95","120.25","118.55","119.39","RMA"
"US Dollar (USD)","USD","92.35","95.20","93.49","94.14","RMA"
