"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.65","68.50","67.54","67.99","RMA"
"Canadian Dollar (CAD)","CAD","68.10","70.05","69.05","69.54","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.76","14.87","RMA"
"OEuro (EURO)","EUR","108.90","111.90","110.35","111.11","RMA"
"Hongkong Dollar (HKD)","HKD","11.85","12.15","11.99","12.07","RMA"
"Japanese Yen 100 (JPY)","JPY","58.20","59.85","59.01","59.43","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.14","10.22","RMA"
"Pound Sterling (GBP)","GBP","125.65","129.15","127.36","128.2","RMA"
"Singapore Dollar (SGD)","SGD","72.80","74.85","73.77","74.32","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.22","10.29","RMA"
"Swiss Franc (CHF)","CHF","118.20","121.55","119.81","120.68","RMA"
"US Dollar (USD)","USD","92.80","95.70","93.96","94.61","RMA"
