"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","64.80","66.60","65.7","66.14","RMA"
"Canadian Dollar (CAD)","CAD","66.15","68.00","67.03","67.51","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.53","14.63","RMA"
"OEuro (EURO)","EUR","107.15","110.10","108.59","109.32","RMA"
"Hongkong Dollar (HKD)","HKD","11.95","12.30","12.13","12.22","RMA"
"Japanese Yen 100 (JPY)","JPY","58.20","59.85","59.01","59.44","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.63","9.71","RMA"
"Pound Sterling (GBP)","GBP","125.30","128.75","127.0","127.85","RMA"
"Singapore Dollar (SGD)","SGD","72.55","74.60","73.53","74.08","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.8","9.87","RMA"
"Swiss Franc (CHF)","CHF","116.60","119.85","118.17","119.0","RMA"
"US Dollar (USD)","USD","94.00","96.90","95.16","95.82","RMA"
