"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","56.60","58.15","57.39","57.76","RMA"
"Canadian Dollar","CAD","62.15","63.85","62.97","63.42","RMA"
"Danish Kroner","DKK","-","-","13.66","13.75","RMA"
"OEuro","EUR","100.65","103.45","102.0","102.69","RMA"
"Hongkong Dollar","HKD","11.20","11.55","11.37","11.45","RMA"
"Japanese Yen 100","JPY","55.55","57.10","56.3","56.69","RMA"
"Norwegian Kroner","NOK","-","-","8.69","8.75","RMA"
"Pound Sterling","GBP","114.20","117.35","115.76","116.52","RMA"
"Singapore Dollar","SGD","66.80","68.70","67.71","68.21","RMA"
"Swedish Kroner","SEK","-","-","9.27","9.33","RMA"
"Swiss Franc","CHF","108.35","111.40","109.83","110.61","RMA"
"US Dollar","USD","87.40","90.10","88.49","89.11","RMA"
