"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","63.80","65.55","64.64","65.07","RMA"
"Canadian Dollar (CAD)","CAD","67.05","68.95","67.98","68.45","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.25","14.35","RMA"
"OEuro (EURO)","EUR","105.00","107.95","106.43","107.16","RMA"
"Hongkong Dollar (HKD)","HKD","11.65","11.95","11.78","11.87","RMA"
"Japanese Yen 100 (JPY)","JPY","57.35","59.00","58.15","58.55","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.56","9.63","RMA"
"Pound Sterling (GBP)","GBP","121.25","124.60","122.89","123.73","RMA"
"Singapore Dollar (SGD)","SGD","71.00","73.00","71.95","72.46","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.97","10.04","RMA"
"Swiss Franc (CHF)","CHF","116.60","119.90","118.17","119.03","RMA"
"US Dollar (USD)","USD","90.95","93.80","92.11","92.75","RMA"
