"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","59.10","60.75","59.9","60.3","RMA"
"Canadian Dollar","CAD","64.50","66.35","65.38","65.86","RMA"
"Danish Kroner","DKK","-","-","14.08","14.18","RMA"
"OEuro","EUR","103.75","106.65","105.14","105.87","RMA"
"Hongkong Dollar","HKD","11.35","11.70","11.51","11.59","RMA"
"Japanese Yen 100","JPY","56.45","58.05","57.2","57.61","RMA"
"Norwegian Kroner","NOK","-","-","8.9","8.96","RMA"
"Pound Sterling","GBP","118.80","122.10","120.41","121.21","RMA"
"Singapore Dollar","SGD","68.75","70.65","69.67","70.17","RMA"
"Swedish Kroner","SEK","-","-","9.72","9.79","RMA"
"Swiss Franc","CHF","111.45","114.60","112.94","113.8","RMA"
"US Dollar","USD","88.50","91.25","89.61","90.24","RMA"
