"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","64.15","65.95","65.02","65.46","RMA"
"Canadian Dollar (CAD)","CAD","65.45","67.30","66.33","66.8","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.4","14.5","RMA"
"OEuro (EURO)","EUR","106.20","109.10","107.65","108.34","RMA"
"Hongkong Dollar (HKD)","HKD","11.90","12.20","12.04","12.13","RMA"
"Japanese Yen 100 (JPY)","JPY","57.40","59.00","58.18","58.59","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.52","9.59","RMA"
"Pound Sterling (GBP)","GBP","123.30","126.75","124.99","125.84","RMA"
"Singapore Dollar (SGD)","SGD","71.95","74.00","72.93","73.46","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.69","9.76","RMA"
"Swiss Franc (CHF)","CHF","115.05","118.30","116.63","117.46","RMA"
"US Dollar (USD)","USD","93.25","96.15","94.43","95.09","RMA"
