"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.20","69.05","68.09","68.54","RMA"
"Canadian Dollar (CAD)","CAD","68.30","70.20","69.2","69.7","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.83","14.93","RMA"
"OEuro (EURO)","EUR","109.30","112.35","110.8","111.56","RMA"
"Hongkong Dollar (HKD)","HKD","12.00","12.35","12.18","12.27","RMA"
"Japanese Yen 100 (JPY)","JPY","59.20","60.85","60.0","60.43","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.33","10.4","RMA"
"Pound Sterling (GBP)","GBP","126.50","130.00","128.22","129.08","RMA"
"Singapore Dollar (SGD)","SGD","73.60","75.65","74.58","75.13","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.21","10.28","RMA"
"Swiss Franc (CHF)","CHF","119.80","123.20","121.4","122.31","RMA"
"US Dollar (USD)","USD","94.30","97.20","95.46","96.12","RMA"
