"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","56.55","58.10","57.3","57.68","RMA"
"Canadian Dollar","CAD","61.75","63.50","62.57","63.02","RMA"
"Danish Kroner","DKK","-","-","13.68","13.78","RMA"
"OEuro","EUR","100.85","103.65","102.2","102.9","RMA"
"Hongkong Dollar","HKD","11.15","11.45","11.3","11.38","RMA"
"Japanese Yen 100","JPY","57.25","58.85","58.04","58.45","RMA"
"Norwegian Kroner","NOK","-","-","8.69","8.77","RMA"
"Pound Sterling","GBP","115.70","118.90","117.26","118.06","RMA"
"Singapore Dollar","SGD","66.85","68.80","67.78","68.29","RMA"
"Swedish Kroner","SEK","-","-","9.25","9.34","RMA"
"Swiss Franc","CHF","108.30","111.40","109.74","110.58","RMA"
"US Dollar","USD","86.75","89.45","87.85","88.47","RMA"
