"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","59.60","61.25","60.42","60.83","RMA"
"Canadian Dollar (CAD)","CAD","64.05","65.85","64.9","65.37","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.02","14.12","RMA"
"OEuro (EURO)","EUR","103.40","106.25","104.78","105.5","RMA"
"Hongkong Dollar (HKD)","HKD","11.35","11.70","11.51","11.59","RMA"
"Japanese Yen 100 (JPY)","JPY","56.55","58.15","57.3","57.71","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","8.91","8.97","RMA"
"Pound Sterling (GBP)","GBP","119.40","122.70","121.01","121.82","RMA"
"Singapore Dollar (SGD)","SGD","69.00","70.95","69.93","70.45","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.74","9.81","RMA"
"Swiss Franc (CHF)","CHF","111.15","114.30","112.64","113.47","RMA"
"US Dollar (USD)","USD","88.55","91.30","89.66","90.29","RMA"
