"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","63.00","64.75","63.86","64.29","RMA"
"Canadian Dollar (CAD)","CAD","65.85","67.70","66.73","67.2","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.32","14.43","RMA"
"OEuro (EURO)","EUR","105.60","108.55","107.05","107.78","RMA"
"Hongkong Dollar (HKD)","HKD","11.70","12.00","11.85","11.93","RMA"
"Japanese Yen 100 (JPY)","JPY","57.40","59.05","58.19","58.61","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.54","9.61","RMA"
"Pound Sterling (GBP)","GBP","121.00","124.35","122.62","123.44","RMA"
"Singapore Dollar (SGD)","SGD","71.20","73.20","72.14","72.69","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.78","9.85","RMA"
"Swiss Franc (CHF)","CHF","114.55","117.80","116.11","116.94","RMA"
"US Dollar (USD)","USD","91.75","94.55","92.88","93.52","RMA"
