"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","56.00","57.55","56.76","57.15","RMA"
"Canadian Dollar","CAD","61.65","63.40","62.49","62.95","RMA"
"Danish Kroner","DKK","-","-","13.74","13.84","RMA"
"OEuro","EUR","101.30","104.10","102.66","103.36","RMA"
"Hongkong Dollar","HKD","11.15","11.45","11.3","11.37","RMA"
"Japanese Yen 100","JPY","57.80","59.45","58.61","59.02","RMA"
"Norwegian Kroner","NOK","-","-","8.71","8.77","RMA"
"Pound Sterling","GBP","116.30","119.55","117.87","118.68","RMA"
"Singapore Dollar","SGD","66.85","68.80","67.77","68.29","RMA"
"Swedish Kroner","SEK","-","-","9.28","9.35","RMA"
"Swiss Franc","CHF","109.70","112.75","111.17","111.96","RMA"
"US Dollar","USD","86.65","89.35","87.74","88.36","RMA"
