"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","58.85","60.50","59.66","60.07","RMA"
"Canadian Dollar","CAD","63.90","65.70","64.75","65.21","RMA"
"Danish Kroner","DKK","-","-","13.98","14.08","RMA"
"OEuro","EUR","103.00","105.90","104.42","105.13","RMA"
"Hongkong Dollar","HKD","11.40","11.70","11.53","11.61","RMA"
"Japanese Yen 100","JPY","56.45","58.05","57.21","57.61","RMA"
"Norwegian Kroner","NOK","-","-","8.83","8.9","RMA"
"Pound Sterling","GBP","117.90","121.15","119.47","120.27","RMA"
"Singapore Dollar","SGD","68.30","70.20","69.21","69.72","RMA"
"Swedish Kroner","SEK","-","-","9.59","9.66","RMA"
"Swiss Franc","CHF","109.90","113.00","111.41","112.22","RMA"
"US Dollar","USD","88.60","91.35","89.73","90.36","RMA"
