"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.25","69.10","68.18","68.63","RMA"
"Canadian Dollar (CAD)","CAD","68.15","70.05","69.05","69.55","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.84","14.95","RMA"
"OEuro (EURO)","EUR","109.45","112.50","110.91","111.67","RMA"
"Hongkong Dollar (HKD)","HKD","11.90","12.20","12.04","12.12","RMA"
"Japanese Yen 100 (JPY)","JPY","59.35","61.00","60.15","60.57","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.21","10.29","RMA"
"Pound Sterling (GBP)","GBP","126.60","130.10","128.32","129.18","RMA"
"Singapore Dollar (SGD)","SGD","73.35","75.40","74.32","74.87","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.23","10.3","RMA"
"Swiss Franc (CHF)","CHF","119.50","122.90","121.1","122.01","RMA"
"US Dollar (USD)","USD","93.10","95.95","94.24","94.9","RMA"
