"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","56.85","58.40","57.64","58.0","RMA"
"Canadian Dollar","CAD","62.95","64.75","63.82","64.27","RMA"
"Danish Kroner","DKK","-","-","13.78","13.88","RMA"
"OEuro","EUR","101.55","104.35","102.91","103.62","RMA"
"Hongkong Dollar","HKD","11.15","11.45","11.28","11.36","RMA"
"Japanese Yen 100","JPY","58.65","60.25","59.42","59.84","RMA"
"Norwegian Kroner","NOK","-","-","8.76","8.83","RMA"
"Pound Sterling","GBP","117.15","120.35","118.71","119.47","RMA"
"Singapore Dollar","SGD","67.50","69.40","68.42","68.9","RMA"
"Swedish Kroner","SEK","-","-","9.36","9.42","RMA"
"Swiss Franc","CHF","108.15","111.25","109.62","110.44","RMA"
"US Dollar","USD","86.95","89.65","88.05","88.66","RMA"
