"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.30","69.15","68.19","68.64","RMA"
"Canadian Dollar (CAD)","CAD","68.10","70.05","69.03","69.55","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.87","14.98","RMA"
"OEuro (EURO)","EUR","109.70","112.75","111.16","111.92","RMA"
"Hongkong Dollar (HKD)","HKD","12.00","12.35","12.18","12.27","RMA"
"Japanese Yen 100 (JPY)","JPY","59.10","60.75","59.9","60.32","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.27","10.36","RMA"
"Pound Sterling (GBP)","GBP","126.65","130.15","128.35","129.23","RMA"
"Singapore Dollar (SGD)","SGD","73.75","75.85","74.74","75.3","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.32","10.39","RMA"
"Swiss Franc (CHF)","CHF","119.85","123.25","121.47","122.35","RMA"
"US Dollar (USD)","USD","94.30","97.20","95.46","96.12","RMA"
