"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","68.00","69.90","68.91","69.38","RMA"
"Canadian Dollar (CAD)","CAD","68.65","70.60","69.57","70.07","RMA"
"Danish Kroner (DKK)","DKK","-","-","15.0","15.1","RMA"
"OEuro (EURO)","EUR","110.55","113.65","112.06","112.84","RMA"
"Hongkong Dollar (HKD)","HKD","12.00","12.35","12.18","12.27","RMA"
"Japanese Yen 100 (JPY)","JPY","59.75","61.40","60.54","60.97","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.4","10.49","RMA"
"Pound Sterling (GBP)","GBP","127.45","131.00","129.16","130.04","RMA"
"Singapore Dollar (SGD)","SGD","73.90","76.00","74.92","75.48","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.3","10.37","RMA"
"Swiss Franc (CHF)","CHF","120.50","123.90","122.15","123.03","RMA"
"US Dollar (USD)","USD","94.20","97.15","95.39","96.06","RMA"
