"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","64.15","65.90","65.0","65.41","RMA"
"Canadian Dollar (CAD)","CAD","65.50","67.35","66.39","66.85","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.37","14.47","RMA"
"OEuro (EURO)","EUR","106.00","108.95","107.43","108.15","RMA"
"Hongkong Dollar (HKD)","HKD","11.85","12.20","12.01","12.09","RMA"
"Japanese Yen 100 (JPY)","JPY","57.50","59.10","58.27","58.68","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.51","9.58","RMA"
"Pound Sterling (GBP)","GBP","122.85","126.25","124.5","125.33","RMA"
"Singapore Dollar (SGD)","SGD","71.80","73.85","72.78","73.3","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.71","9.78","RMA"
"Swiss Franc (CHF)","CHF","114.95","118.20","116.5","117.34","RMA"
"US Dollar (USD)","USD","93.00","95.90","94.17","94.82","RMA"
