"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","59.15","60.80","59.97","60.37","RMA"
"Canadian Dollar","CAD","64.40","66.20","65.28","65.75","RMA"
"Danish Kroner","DKK","-","-","14.12","14.22","RMA"
"OEuro","EUR","104.10","7.00","105.5","106.22","RMA"
"Hongkong Dollar","HKD","11.45","11.75","11.58","11.66","RMA"
"Japanese Yen 100","JPY","57.05","58.65","57.84","58.24","RMA"
"Norwegian Kroner","NOK","-","-","8.93","8.99","RMA"
"Pound Sterling","GBP","118.95","122.25","120.56","121.36","RMA"
"Singapore Dollar","SGD","68.70","70.65","69.64","70.15","RMA"
"Swedish Kroner","SEK","-","-","9.74","9.81","RMA"
"Swiss Franc","CHF","111.45","114.55","112.94","113.74","RMA"
"US Dollar","USD","89.05","91.80","90.15","90.78","RMA"
