"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","59.30","60.95","60.13","60.52","RMA"
"Canadian Dollar","CAD","64.60","66.45","65.49","65.96","RMA"
"Danish Kroner","DKK","-","-","14.14","14.24","RMA"
"OEuro","EUR","104.25","107.15","105.65","106.38","RMA"
"Hongkong Dollar","HKD","11.35","11.70","11.52","11.6","RMA"
"Japanese Yen 100","JPY","56.70","58.30","57.46","57.87","RMA"
"Norwegian Kroner","NOK","-","-","8.95","9.03","RMA"
"Pound Sterling","GBP","119.50","122.80","121.1","121.91","RMA"
"Singapore Dollar","SGD","68.85","70.80","69.77","70.31","RMA"
"Swedish Kroner","SEK","-","-","9.78","9.85","RMA"
"Swiss Franc","CHF","112.30","115.55","113.83","114.74","RMA"
"US Dollar","USD","88.45","91.20","89.55","90.19","RMA"
