"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","56.15","57.70","56.93","57.31","RMA"
"Canadian Dollar","CAD","61.65","63.40","62.5","62.95","RMA"
"Danish Kroner","DKK","-","-","13.62","13.72","RMA"
"OEuro","EUR","100.40","103.20","101.76","102.46","RMA"
"Hongkong Dollar","HKD","11.15","11.45","11.28","11.36","RMA"
"Japanese Yen 100","JPY","56.50","58.10","57.29","57.69","RMA"
"Norwegian Kroner","NOK","-","-","8.76","8.82","RMA"
"Pound Sterling","GBP","115.20","118.40","116.76","117.56","RMA"
"Singapore Dollar","SGD","66.55","68.40","67.44","67.92","RMA"
"Swedish Kroner","SEK","-","-","9.33","9.4","RMA"
"Swiss Franc","CHF","108.55","111.65","110.03","110.86","RMA"
"US Dollar","USD","86.55","89.25","87.63","88.24","RMA"
