"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","56.95","58.50","57.75","58.1","RMA"
"Canadian Dollar","CAD","62.15","63.90","62.98","63.44","RMA"
"Danish Kroner","DKK","-","-","13.71","13.81","RMA"
"OEuro","EUR","101.05","103.85","102.44","103.13","RMA"
"Hongkong Dollar","HKD","11.20","11.50","11.33","11.41","RMA"
"Japanese Yen 100","JPY","56.85","58.45","57.62","58.02","RMA"
"Norwegian Kroner","NOK","-","-","8.8","8.86","RMA"
"Pound Sterling","GBP","115.90","119.10","117.47","118.24","RMA"
"Singapore Dollar","SGD","67.00","68.85","67.89","68.38","RMA"
"Swedish Kroner","SEK","-","-","9.39","9.45","RMA"
"Swiss Franc","CHF","109.05","112.15","110.55","111.37","RMA"
"US Dollar","USD","86.95","89.65","88.03","88.64","RMA"
