"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.10","69.00","68.03","68.49","RMA"
"Canadian Dollar (CAD)","CAD","67.65","69.55","68.57","69.06","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.77","14.87","RMA"
"OEuro (EURO)","EUR","108.90","111.95","110.4","111.14","RMA"
"Hongkong Dollar (HKD)","HKD","11.95","12.25","12.09","12.18","RMA"
"Japanese Yen 100 (JPY)","JPY","58.65","60.25","59.42","59.84","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.25","10.32","RMA"
"Pound Sterling (GBP)","GBP","125.85","129.35","127.55","128.4","RMA"
"Singapore Dollar (SGD)","SGD","73.15","75.25","74.15","74.69","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.22","10.29","RMA"
"Swiss Franc (CHF)","CHF","119.20","122.55","120.82","121.68","RMA"
"US Dollar (USD)","USD","93.60","96.50","94.76","95.42","RMA"
