"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","59.35","60.95","60.13","60.53","RMA"
"Canadian Dollar (CAD)","CAD","64.50","66.30","65.37","65.84","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.08","14.18","RMA"
"OEuro (EURO)","EUR","103.80","106.70","105.2","105.92","RMA"
"Hongkong Dollar (HKD)","HKD","11.40","11.75","11.56","11.64","RMA"
"Japanese Yen 100 (JPY)","JPY","56.65","58.25","57.41","57.81","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","8.92","8.99","RMA"
"Pound Sterling (GBP)","GBP","119.45","122.75","121.07","121.88","RMA"
"Singapore Dollar (SGD)","SGD","69.00","70.95","69.94","70.43","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.76","9.83","RMA"
"Swiss Franc (CHF)","CHF","111.55","114.70","113.08","113.88","RMA"
"US Dollar (USD)","USD","88.95","91.70","90.06","90.69","RMA"
