"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.35","58.95","58.14","58.53","RMA"
"Canadian Dollar","CAD","62.55","64.30","63.41","63.86","RMA"
"Danish Kroner","DKK","-","-","13.81","13.91","RMA"
"OEuro","EUR","101.80","104.60","103.16","103.85","RMA"
"Hongkong Dollar","HKD","11.30","11.60","11.45","11.53","RMA"
"Japanese Yen 100","JPY","56.20","57.80","56.99","57.39","RMA"
"Norwegian Kroner","NOK","-","-","8.74","8.81","RMA"
"Pound Sterling","GBP","116.15","119.40","117.72","118.53","RMA"
"Singapore Dollar","SGD","67.70","69.60","68.62","69.12","RMA"
"Swedish Kroner","SEK","-","-","9.39","9.45","RMA"
"Swiss Franc","CHF","109.10","112.15","110.56","111.37","RMA"
"US Dollar","USD","88.00","90.70","89.09","89.71","RMA"
