"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.05","58.60","57.81","58.18","RMA"
"Canadian Dollar","CAD","62.70","64.45","63.55","64.0","RMA"
"Danish Kroner","DKK","-","-","13.79","13.88","RMA"
"OEuro","EUR","101.55","104.40","102.95","103.65","RMA"
"Hongkong Dollar","HKD","11.10","11.45","11.27","11.35","RMA"
"Japanese Yen 100","JPY","58.60","60.25","59.4","59.82","RMA"
"Norwegian Kroner","NOK","-","-","8.78","8.84","RMA"
"Pound Sterling","GBP","117.05","120.30","118.63","119.42","RMA"
"Singapore Dollar","SGD","67.45","69.35","68.35","68.86","RMA"
"Swedish Kroner","SEK","-","-","9.34","9.41","RMA"
"Swiss Franc","CHF","108.75","111.85","110.22","111.04","RMA"
"US Dollar","USD","86.70","89.40","87.81","88.42","RMA"
