"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","59.25","60.85","60.06","60.44","RMA"
"Canadian Dollar","CAD","64.65","66.45","65.5","65.96","RMA"
"Danish Kroner","DKK","-","-","14.12","14.22","RMA"
"OEuro","EUR","104.10","7.00","105.52","106.22","RMA"
"Hongkong Dollar","HKD","11.40","11.70","11.53","11.61","RMA"
"Japanese Yen 100","JPY","56.50","58.10","57.29","57.69","RMA"
"Norwegian Kroner","NOK","-","-","8.94","9.01","RMA"
"Pound Sterling","GBP","119.30","122.55","120.92","121.69","RMA"
"Singapore Dollar","SGD","68.80","70.80","69.74","70.27","RMA"
"Swedish Kroner","SEK","-","-","9.76","9.83","RMA"
"Swiss Franc","CHF","111.95","115.15","113.45","114.31","RMA"
"US Dollar","USD","88.55","91.25","89.63","90.26","RMA"
