"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.00","67.80","66.87","67.31","RMA"
"Canadian Dollar (CAD)","CAD","66.85","68.75","67.77","68.25","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.65","14.75","RMA"
"OEuro (EURO)","EUR","108.05","111.05","109.51","110.25","RMA"
"Hongkong Dollar (HKD)","HKD","11.95","12.30","12.13","12.22","RMA"
"Japanese Yen 100 (JPY)","JPY","59.45","61.15","60.26","60.69","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.0","10.07","RMA"
"Pound Sterling (GBP)","GBP","126.20","129.70","127.91","128.76","RMA"
"Singapore Dollar (SGD)","SGD","73.10","75.20","74.11","74.65","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.95","10.02","RMA"
"Swiss Franc (CHF)","CHF","115.85","119.10","117.44","118.27","RMA"
"US Dollar (USD)","USD","93.95","96.90","95.15","95.81","RMA"
