"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.45","59.05","58.23","58.61","RMA"
"Canadian Dollar","CAD","62.70","64.45","63.55","64.01","RMA"
"Danish Kroner","DKK","-","-","13.82","13.92","RMA"
"OEuro","EUR","101.85","104.65","103.22","103.92","RMA"
"Hongkong Dollar","HKD","11.30","11.65","11.46","11.54","RMA"
"Japanese Yen 100","JPY","56.30","57.90","57.08","57.48","RMA"
"Norwegian Kroner","NOK","-","-","8.77","8.84","RMA"
"Pound Sterling","GBP","116.30","119.50","117.87","118.63","RMA"
"Singapore Dollar","SGD","67.80","69.75","68.72","69.24","RMA"
"Swedish Kroner","SEK","-","-","9.39","9.46","RMA"
"Swiss Franc","CHF","109.15","112.30","110.61","111.48","RMA"
"US Dollar","USD","88.15","90.85","89.23","89.85","RMA"
