"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","56.70","58.25","57.45","57.82","RMA"
"Canadian Dollar","CAD","62.00","63.75","62.84","63.29","RMA"
"Danish Kroner","DKK","-","-","13.62","13.72","RMA"
"OEuro","EUR","100.35","103.15","101.72","102.41","RMA"
"Hongkong Dollar","HKD","11.20","11.55","11.37","11.45","RMA"
"Japanese Yen 100","JPY","56.85","58.45","57.61","58.02","RMA"
"Norwegian Kroner","NOK","-","-","8.67","8.73","RMA"
"Pound Sterling","GBP","114.00","117.15","115.53","116.3","RMA"
"Singapore Dollar","SGD","66.80","68.70","67.72","68.22","RMA"
"Swedish Kroner","SEK","-","-","9.27","9.34","RMA"
"Swiss Franc","CHF","107.85","110.95","109.31","110.14","RMA"
"US Dollar","USD","87.35","90.05","88.43","89.05","RMA"
