"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","65.15","66.95","66.03","66.47","RMA"
"Canadian Dollar (CAD)","CAD","65.65","67.50","66.53","67.01","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.43","14.53","RMA"
"OEuro (EURO)","EUR","106.40","109.35","107.85","108.58","RMA"
"Hongkong Dollar (HKD)","HKD","11.85","12.15","12.0","12.09","RMA"
"Japanese Yen 100 (JPY)","JPY","57.55","59.20","58.35","58.76","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.71","9.78","RMA"
"Pound Sterling (GBP)","GBP","122.90","126.30","124.54","125.38","RMA"
"Singapore Dollar (SGD)","SGD","71.90","73.90","72.88","73.39","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.83","9.9","RMA"
"Swiss Franc (CHF)","CHF","115.20","118.45","116.78","117.61","RMA"
"US Dollar (USD)","USD","92.95","95.80","94.09","94.75","RMA"
