"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.05","68.90","67.94","68.4","RMA"
"Canadian Dollar (CAD)","CAD","67.70","69.60","68.6","69.09","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.72","14.82","RMA"
"OEuro (EURO)","EUR","108.55","111.55","110.02","110.76","RMA"
"Hongkong Dollar (HKD)","HKD","12.00","12.30","12.15","12.24","RMA"
"Japanese Yen 100 (JPY)","JPY","60.85","62.55","61.67","62.11","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.21","10.29","RMA"
"Pound Sterling (GBP)","GBP","126.85","130.35","128.56","129.42","RMA"
"Singapore Dollar (SGD)","SGD","74.00","76.10","75.0","75.56","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.76","9.82","RMA"
"Swiss Franc (CHF)","CHF","115.05","118.35","116.63","117.48","RMA"
"US Dollar (USD)","USD","94.15","97.05","95.32","95.98","RMA"
