"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.50","68.30","67.38","67.8","RMA"
"Canadian Dollar (CAD)","CAD","67.40","69.30","68.31","68.79","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.69","14.79","RMA"
"OEuro (EURO)","EUR","108.35","111.40","109.84","110.59","RMA"
"Hongkong Dollar (HKD)","HKD","12.10","12.45","12.29","12.37","RMA"
"Japanese Yen 100 (JPY)","JPY","58.30","59.90","59.08","59.49","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.03","10.1","RMA"
"Pound Sterling (GBP)","GBP","127.05","130.60","128.77","129.65","RMA"
"Singapore Dollar (SGD)","SGD","73.60","75.65","74.58","75.11","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.91","9.98","RMA"
"Swiss Franc (CHF)","CHF","116.90","120.20","118.49","119.36","RMA"
"US Dollar (USD)","USD","95.15","98.10","96.33","97.0","RMA"
