"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","59.05","60.70","59.86","60.27","RMA"
"Canadian Dollar","CAD","64.40","66.20","65.25","65.72","RMA"
"Danish Kroner","DKK","-","-","14.12","14.22","RMA"
"OEuro","EUR","104.05","106.95","105.48","106.19","RMA"
"Hongkong Dollar","HKD","11.35","11.65","11.5","11.58","RMA"
"Japanese Yen 100","JPY","56.60","58.15","57.34","57.74","RMA"
"Norwegian Kroner","NOK","-","-","8.87","8.94","RMA"
"Pound Sterling","GBP","119.20","122.50","120.82","121.61","RMA"
"Singapore Dollar","SGD","68.65","70.60","69.59","70.1","RMA"
"Swedish Kroner","SEK","-","-","9.74","9.81","RMA"
"Swiss Franc","CHF","111.90","115.10","113.43","114.26","RMA"
"US Dollar","USD","88.35","91.05","89.44","90.06","RMA"
