"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","65.10","66.85","65.97","66.39","RMA"
"Canadian Dollar (CAD)","CAD","65.95","67.85","66.87","67.34","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.53","14.63","RMA"
"OEuro (EURO)","EUR","107.15","110.15","108.6","109.35","RMA"
"Hongkong Dollar (HKD)","HKD","11.95","12.30","12.13","12.22","RMA"
"Japanese Yen 100 (JPY)","JPY","57.80","59.45","58.6","59.01","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.66","9.73","RMA"
"Pound Sterling (GBP)","GBP","125.20","128.65","126.91","127.72","RMA"
"Singapore Dollar (SGD)","SGD","72.55","74.60","73.55","74.06","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.84","9.91","RMA"
"Swiss Franc (CHF)","CHF","116.45","119.75","118.01","118.9","RMA"
"US Dollar (USD)","USD","94.00","96.90","95.17","95.82","RMA"
