"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.05","68.95","67.97","68.43","RMA"
"Canadian Dollar (CAD)","CAD","67.90","69.85","68.84","69.34","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.83","14.94","RMA"
"OEuro (EURO)","EUR","109.40","112.45","110.86","111.62","RMA"
"Hongkong Dollar (HKD)","HKD","12.00","12.35","12.19","12.27","RMA"
"Japanese Yen 100 (JPY)","JPY","59.05","60.75","59.87","60.31","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.27","10.35","RMA"
"Pound Sterling (GBP)","GBP","126.15","129.65","127.88","128.74","RMA"
"Singapore Dollar (SGD)","SGD","73.60","75.70","74.6","75.15","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.26","10.33","RMA"
"Swiss Franc (CHF)","CHF","119.30","122.70","120.94","121.82","RMA"
"US Dollar (USD)","USD","94.30","97.20","95.46","96.13","RMA"
