"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","65.70","67.50","66.6","67.03","RMA"
"Canadian Dollar (CAD)","CAD","66.45","68.30","67.33","67.81","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.64","14.74","RMA"
"OEuro (EURO)","EUR","107.95","110.95","109.42","110.16","RMA"
"Hongkong Dollar (HKD)","HKD","11.85","12.20","12.04","12.12","RMA"
"Japanese Yen 100 (JPY)","JPY","58.05","59.70","58.86","59.28","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.94","10.01","RMA"
"Pound Sterling (GBP)","GBP","124.85","128.25","126.55","127.35","RMA"
"Singapore Dollar (SGD)","SGD","72.50","74.60","73.49","74.04","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.05","10.13","RMA"
"Swiss Franc (CHF)","CHF","117.50","120.85","119.1","119.97","RMA"
"US Dollar (USD)","USD","93.15","96.00","94.3","94.95","RMA"
