"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","56.55","58.10","57.33","57.7","RMA"
"Canadian Dollar","CAD","62.75","64.55","63.62","64.07","RMA"
"Danish Kroner","DKK","-","-","13.71","13.81","RMA"
"OEuro","EUR","101.00","103.85","102.39","103.09","RMA"
"Hongkong Dollar","HKD","11.10","11.45","11.28","11.35","RMA"
"Japanese Yen 100","JPY","58.50","60.10","59.28","59.69","RMA"
"Norwegian Kroner","NOK","-","-","8.71","8.77","RMA"
"Pound Sterling","GBP","116.60","119.85","118.17","118.97","RMA"
"Singapore Dollar","SGD","67.25","69.20","68.18","68.69","RMA"
"Swedish Kroner","SEK","-","-","9.29","9.36","RMA"
"Swiss Franc","CHF","107.80","110.80","109.24","110.02","RMA"
"US Dollar","USD","86.85","89.55","87.93","88.54","RMA"
