"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.25","69.10","68.15","68.62","RMA"
"Canadian Dollar (CAD)","CAD","67.40","69.30","68.32","68.8","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.69","14.8","RMA"
"OEuro (EURO)","EUR","108.40","111.40","109.85","110.59","RMA"
"Hongkong Dollar (HKD)","HKD","12.05","12.35","12.19","12.28","RMA"
"Japanese Yen 100 (JPY)","JPY","59.75","61.45","60.56","61.0","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.15","10.22","RMA"
"Pound Sterling (GBP)","GBP","126.20","129.65","127.89","128.74","RMA"
"Singapore Dollar (SGD)","SGD","73.85","75.95","74.87","75.39","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.73","9.81","RMA"
"Swiss Franc (CHF)","CHF","114.40","117.65","115.96","116.8","RMA"
"US Dollar (USD)","USD","94.45","97.40","95.64","96.3","RMA"
