"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","65.80","67.65","66.71","67.15","RMA"
"Canadian Dollar (CAD)","CAD","67.35","69.25","68.27","68.74","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.67","14.78","RMA"
"OEuro (EURO)","EUR","108.20","111.20","109.68","110.42","RMA"
"Hongkong Dollar (HKD)","HKD","11.75","12.10","11.91","11.99","RMA"
"Japanese Yen 100 (JPY)","JPY","57.80","59.40","58.57","58.99","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.99","10.06","RMA"
"Pound Sterling (GBP)","GBP","124.25","127.70","125.95","126.78","RMA"
"Singapore Dollar (SGD)","SGD","72.35","74.35","73.31","73.82","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.18","10.26","RMA"
"Swiss Franc (CHF)","CHF","118.00","121.30","119.59","120.45","RMA"
"US Dollar (USD)","USD","92.10","94.95","93.27","93.91","RMA"
