"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.20","69.05","68.1","68.55","RMA"
"Canadian Dollar (CAD)","CAD","67.75","69.70","68.69","69.18","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.85","14.96","RMA"
"OEuro (EURO)","EUR","109.60","112.60","111.06","111.81","RMA"
"Hongkong Dollar (HKD)","HKD","12.00","12.30","12.14","12.23","RMA"
"Japanese Yen 100 (JPY)","JPY","58.95","60.60","59.75","60.18","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.19","10.28","RMA"
"Pound Sterling (GBP)","GBP","128.15","131.65","129.86","130.73","RMA"
"Singapore Dollar (SGD)","SGD","73.90","76.00","74.93","75.45","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.03","10.1","RMA"
"Swiss Franc (CHF)","CHF","117.00","120.30","118.59","119.42","RMA"
"US Dollar (USD)","USD","94.00","96.90","95.18","95.84","RMA"
