"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","56.90","58.45","57.67","58.03","RMA"
"Canadian Dollar","CAD","62.20","63.95","63.03","63.47","RMA"
"Danish Kroner","DKK","-","-","13.74","13.83","RMA"
"OEuro","EUR","101.20","104.05","102.59","103.29","RMA"
"Hongkong Dollar","HKD","11.20","11.55","11.37","11.45","RMA"
"Japanese Yen 100","JPY","56.35","57.95","57.13","57.54","RMA"
"Norwegian Kroner","NOK","-","-","8.75","8.82","RMA"
"Pound Sterling","GBP","114.85","118.05","116.41","117.21","RMA"
"Singapore Dollar","SGD","67.00","68.90","67.92","68.4","RMA"
"Swedish Kroner","SEK","-","-","9.37","9.43","RMA"
"Swiss Franc","CHF","109.80","112.90","111.3","112.09","RMA"
"US Dollar","USD","87.30","90.05","88.42","89.03","RMA"
