"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","59.25","60.90","60.07","60.45","RMA"
"Canadian Dollar","CAD","64.60","66.40","65.45","65.91","RMA"
"Danish Kroner","DKK","-","-","14.11","14.21","RMA"
"OEuro","EUR","104.00","106.90","105.43","106.14","RMA"
"Hongkong Dollar","HKD","11.35","11.65","11.51","11.59","RMA"
"Japanese Yen 100","JPY","56.65","58.25","57.44","57.84","RMA"
"Norwegian Kroner","NOK","-","-","8.93","8.99","RMA"
"Pound Sterling","GBP","119.45","122.75","121.09","121.86","RMA"
"Singapore Dollar","SGD","68.85","70.80","69.77","70.3","RMA"
"Swedish Kroner","SEK","-","-","9.76","9.83","RMA"
"Swiss Franc","CHF","112.00","115.20","113.52","114.37","RMA"
"US Dollar","USD","88.45","91.20","89.57","90.19","RMA"
