"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","65.10","66.90","65.97","66.4","RMA"
"Canadian Dollar (CAD)","CAD","66.40","68.30","67.31","67.79","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.54","14.65","RMA"
"OEuro (EURO)","EUR","107.30","110.25","108.73","109.47","RMA"
"Hongkong Dollar (HKD)","HKD","12.00","12.35","12.16","12.24","RMA"
"Japanese Yen 100 (JPY)","JPY","57.90","59.50","58.68","59.09","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.74","9.81","RMA"
"Pound Sterling (GBP)","GBP","125.50","29.00","127.21","128.06","RMA"
"Singapore Dollar (SGD)","SGD","72.65","74.70","73.64","74.18","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.82","9.89","RMA"
"Swiss Franc (CHF)","CHF","116.35","119.70","117.95","118.82","RMA"
"US Dollar (USD)","USD","94.15","97.05","95.33","95.99","RMA"
