"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.30","68.15","67.2","67.65","RMA"
"Canadian Dollar (CAD)","CAD","67.40","69.30","68.31","68.78","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.69","14.79","RMA"
"OEuro (EURO)","EUR","108.35","111.35","109.83","110.58","RMA"
"Hongkong Dollar (HKD)","HKD","11.95","12.30","12.13","12.22","RMA"
"Japanese Yen 100 (JPY)","JPY","58.95","60.60","59.75","60.17","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.0","10.08","RMA"
"Pound Sterling (GBP)","GBP","126.75","130.25","128.49","129.3","RMA"
"Singapore Dollar (SGD)","SGD","73.35","75.45","74.36","74.92","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.96","10.03","RMA"
"Swiss Franc (CHF)","CHF","115.65","118.90","117.2","118.05","RMA"
"US Dollar (USD)","USD","94.05","96.95","95.21","95.87","RMA"
