"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.45","69.30","68.36","68.81","RMA"
"Canadian Dollar (CAD)","CAD","67.70","69.60","68.64","69.12","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.85","14.96","RMA"
"OEuro (EURO)","EUR","109.55","112.60","111.04","111.79","RMA"
"Hongkong Dollar (HKD)","HKD","12.00","12.30","12.14","12.23","RMA"
"Japanese Yen 100 (JPY)","JPY","59.05","60.70","59.86","60.29","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.19","10.27","RMA"
"Pound Sterling (GBP)","GBP","127.95","131.50","129.71","130.58","RMA"
"Singapore Dollar (SGD)","SGD","73.95","76.00","74.94","75.47","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.03","10.1","RMA"
"Swiss Franc (CHF)","CHF","116.80","120.10","118.37","119.22","RMA"
"US Dollar (USD)","USD","94.00","96.90","95.18","95.84","RMA"
