"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.95","68.80","67.88","68.33","RMA"
"Canadian Dollar (CAD)","CAD","67.35","69.25","68.28","68.77","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.65","14.75","RMA"
"OEuro (EURO)","EUR","108.05","111.05","109.51","110.25","RMA"
"Hongkong Dollar (HKD)","HKD","11.85","12.20","12.02","12.11","RMA"
"Japanese Yen 100 (JPY)","JPY","59.45","61.10","60.23","60.66","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.12","10.21","RMA"
"Pound Sterling (GBP)","GBP","125.80","129.25","127.48","128.33","RMA"
"Singapore Dollar (SGD)","SGD","73.35","75.40","74.35","74.88","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.86","9.93","RMA"
"Swiss Franc (CHF)","CHF","114.85","118.10","116.4","117.26","RMA"
"US Dollar (USD)","USD","93.10","96.00","94.26","94.91","RMA"
