"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.35","69.20","68.25","68.7","RMA"
"Canadian Dollar (CAD)","CAD","67.90","69.80","68.83","69.32","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.77","14.88","RMA"
"OEuro (EURO)","EUR","109.00","112.00","110.46","111.2","RMA"
"Hongkong Dollar (HKD)","HKD","12.05","12.40","12.2","12.29","RMA"
"Japanese Yen 100 (JPY)","JPY","60.95","62.70","61.79","62.24","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.25","10.32","RMA"
"Pound Sterling (GBP)","GBP","127.30","130.85","129.04","129.92","RMA"
"Singapore Dollar (SGD)","SGD","74.25","76.30","75.23","75.76","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.8","9.86","RMA"
"Swiss Franc (CHF)","CHF","115.50","118.75","117.05","117.88","RMA"
"US Dollar (USD)","USD","94.55","97.45","95.72","96.39","RMA"
