"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","64.30","66.10","65.18","65.61","RMA"
"Canadian Dollar (CAD)","CAD","67.35","69.25","68.24","68.73","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.57","14.68","RMA"
"OEuro (EURO)","EUR","107.45","110.45","108.91","109.65","RMA"
"Hongkong Dollar (HKD)","HKD","11.90","12.25","12.07","12.16","RMA"
"Japanese Yen 100 (JPY)","JPY","58.35","60.00","59.13","59.56","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.76","9.83","RMA"
"Pound Sterling (GBP)","GBP","124.15","127.60","125.82","126.67","RMA"
"Singapore Dollar (SGD)","SGD","72.45","74.55","73.45","74.01","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.02","10.1","RMA"
"Swiss Franc (CHF)","CHF","116.95","120.30","118.55","119.42","RMA"
"US Dollar (USD)","USD","93.35","96.25","94.54","95.2","RMA"
