"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","59.95","61.60","60.76","61.16","RMA"
"Canadian Dollar (CAD)","CAD","64.35","66.15","65.23","65.69","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.08","14.18","RMA"
"OEuro (EURO)","EUR","103.85","106.70","105.24","105.95","RMA"
"Hongkong Dollar (HKD)","HKD","11.45","11.80","11.62","11.7","RMA"
"Japanese Yen 100 (JPY)","JPY","56.55","58.10","57.3","57.7","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","8.98","9.04","RMA"
"Pound Sterling (GBP)","GBP","119.85","123.15","121.45","122.29","RMA"
"Singapore Dollar (SGD)","SGD","69.40","71.40","70.35","70.87","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.81","9.88","RMA"
"Swiss Franc (CHF)","CHF","111.45","114.60","112.98","113.79","RMA"
"US Dollar (USD)","USD","89.50","92.30","90.64","91.27","RMA"
