"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","56.80","58.40","57.58","57.97","RMA"
"Canadian Dollar","CAD","61.85","63.60","62.7","63.14","RMA"
"Danish Kroner","DKK","-","-","13.63","13.73","RMA"
"OEuro","EUR","100.40","103.20","101.77","102.47","RMA"
"Hongkong Dollar","HKD","11.20","11.55","11.37","11.45","RMA"
"Japanese Yen 100","JPY","56.75","58.30","57.5","57.9","RMA"
"Norwegian Kroner","NOK","-","-","8.69","8.75","RMA"
"Pound Sterling","GBP","114.10","117.25","115.64","116.41","RMA"
"Singapore Dollar","SGD","66.80","68.70","67.7","68.2","RMA"
"Swedish Kroner","SEK","-","-","9.27","9.34","RMA"
"Swiss Franc","CHF","107.80","110.85","109.25","110.07","RMA"
"US Dollar","USD","87.30","90.00","88.4","89.01","RMA"
