"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","57.70","59.30","58.5","58.89","RMA"
"Canadian Dollar","CAD","62.95","64.70","63.79","64.24","RMA"
"Danish Kroner","DKK","-","-","13.95","14.05","RMA"
"OEuro","EUR","102.75","105.60","104.12","104.83","RMA"
"Hongkong Dollar","HKD","11.25","11.55","11.38","11.46","RMA"
"Japanese Yen 100","JPY","58.85","60.50","59.65","60.07","RMA"
"Norwegian Kroner","NOK","-","-","8.91","8.98","RMA"
"Pound Sterling","GBP","117.65","120.90","119.26","120.05","RMA"
"Singapore Dollar","SGD","67.85","69.75","68.77","69.27","RMA"
"Swedish Kroner","SEK","-","-","9.45","9.51","RMA"
"Swiss Franc","CHF","109.85","113.00","111.36","112.2","RMA"
"US Dollar","USD","87.40","90.10","88.48","89.09","RMA"
