"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","60.90","62.60","61.74","62.15","RMA"
"Canadian Dollar (CAD)","CAD","65.20","67.05","66.09","66.56","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.33","14.43","RMA"
"OEuro (EURO)","EUR","105.65","108.60","107.07","107.81","RMA"
"Hongkong Dollar (HKD)","HKD","11.55","11.90","11.73","11.81","RMA"
"Japanese Yen 100 (JPY)","JPY","57.10","58.75","57.89","58.31","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.17","9.23","RMA"
"Pound Sterling (GBP)","GBP","121.05","124.40","122.71","123.51","RMA"
"Singapore Dollar (SGD)","SGD","70.30","72.30","71.23","71.76","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.01","10.08","RMA"
"Swiss Franc (CHF)","CHF","113.80","117.05","115.34","116.2","RMA"
"US Dollar (USD)","USD","90.35","93.15","91.48","92.12","RMA"
