"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","65.80","67.65","66.7","67.15","RMA"
"Canadian Dollar (CAD)","CAD","66.85","68.70","67.74","68.23","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.66","14.76","RMA"
"OEuro (EURO)","EUR","108.10","111.10","109.58","110.32","RMA"
"Hongkong Dollar (HKD)","HKD","11.70","12.05","11.88","11.97","RMA"
"Japanese Yen 100 (JPY)","JPY","57.70","59.30","58.48","58.9","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.89","9.96","RMA"
"Pound Sterling (GBP)","GBP","124.25","127.70","125.94","126.79","RMA"
"Singapore Dollar (SGD)","SGD","72.15","74.20","73.11","73.66","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.12","10.2","RMA"
"Swiss Franc (CHF)","CHF","117.10","120.35","118.66","119.5","RMA"
"US Dollar (USD)","USD","91.85","94.70","93.02","93.67","RMA"
