"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","64.10","65.85","64.95","65.37","RMA"
"Canadian Dollar (CAD)","CAD","66.55","68.45","67.47","67.96","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.14","14.24","RMA"
"OEuro (EURO)","EUR","104.25","107.20","105.69","106.42","RMA"
"Hongkong Dollar (HKD)","HKD","11.60","11.95","11.78","11.86","RMA"
"Japanese Yen 100 (JPY)","JPY","57.05","58.65","57.84","58.25","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.47","9.54","RMA"
"Pound Sterling (GBP)","GBP","120.75","124.10","122.38","123.19","RMA"
"Singapore Dollar (SGD)","SGD","71.05","73.05","72.01","72.52","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.81","9.88","RMA"
"Swiss Franc (CHF)","CHF","115.45","118.70","117.01","117.85","RMA"
"US Dollar (USD)","USD","91.05","93.90","92.21","92.86","RMA"
