"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.60","69.45","68.51","68.97","RMA"
"Canadian Dollar (CAD)","CAD","68.70","70.65","69.64","70.14","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.9","15.01","RMA"
"OEuro (EURO)","EUR","109.90","112.95","111.39","112.15","RMA"
"Hongkong Dollar (HKD)","HKD","12.05","12.40","12.23","12.31","RMA"
"Japanese Yen 100 (JPY)","JPY","59.60","61.25","60.4","60.83","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.27","10.34","RMA"
"Pound Sterling (GBP)","GBP","126.20","129.70","127.91","128.79","RMA"
"Singapore Dollar (SGD)","SGD","73.85","75.90","74.83","75.35","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.15","10.22","RMA"
"Swiss Franc (CHF)","CHF","120.20","123.65","121.85","122.77","RMA"
"US Dollar (USD)","USD","94.55","97.50","95.73","96.4","RMA"
