"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar","AUD","59.40","61.05","60.19","60.6","RMA"
"Canadian Dollar","CAD","64.90","66.70","65.76","66.24","RMA"
"Danish Kroner","DKK","-","-","14.23","14.33","RMA"
"OEuro","EUR","104.90","107.80","106.32","107.04","RMA"
"Hongkong Dollar","HKD","11.50","11.80","11.63","11.71","RMA"
"Japanese Yen 100","JPY","57.60","59.25","58.4","58.81","RMA"
"Norwegian Kroner","NOK","-","-","8.94","9.0","RMA"
"Pound Sterling","GBP","119.55","122.90","121.17","122.01","RMA"
"Singapore Dollar","SGD","69.25","71.25","70.2","70.72","RMA"
"Swedish Kroner","SEK","-","-","9.74","9.81","RMA"
"Swiss Franc","CHF","112.20","115.40","113.74","114.55","RMA"
"US Dollar","USD","89.40","92.20","90.53","91.16","RMA"
