"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","65.25","67.00","66.11","66.54","RMA"
"Canadian Dollar (CAD)","CAD","66.60","68.45","67.49","67.98","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.66","14.76","RMA"
"OEuro (EURO)","EUR","108.05","111.10","109.53","110.28","RMA"
"Hongkong Dollar (HKD)","HKD","11.70","12.05","11.86","11.94","RMA"
"Japanese Yen 100 (JPY)","JPY","57.65","59.30","58.44","58.85","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.85","9.92","RMA"
"Pound Sterling (GBP)","GBP","124.15","127.55","125.83","126.64","RMA"
"Singapore Dollar (SGD)","SGD","72.05","74.10","73.01","73.57","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.14","10.21","RMA"
"Swiss Franc (CHF)","CHF","117.35","120.75","118.96","119.87","RMA"
"US Dollar (USD)","USD","91.75","94.60","92.89","93.54","RMA"
