"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.75","69.60","68.66","69.11","RMA"
"Canadian Dollar (CAD)","CAD","68.00","69.95","68.94","69.43","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.82","14.92","RMA"
"OEuro (EURO)","EUR","109.30","112.35","110.78","111.54","RMA"
"Hongkong Dollar (HKD)","HKD","12.00","12.30","12.14","12.23","RMA"
"Japanese Yen 100 (JPY)","JPY","61.10","62.85","61.94","62.38","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.33","10.4","RMA"
"Pound Sterling (GBP)","GBP","127.30","130.80","129.01","129.88","RMA"
"Singapore Dollar (SGD)","SGD","74.25","76.35","75.26","75.78","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.92","9.99","RMA"
"Swiss Franc (CHF)","CHF","115.85","119.15","117.43","118.3","RMA"
"US Dollar (USD)","USD","94.05","96.95","95.21","95.87","RMA"
