"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.10","67.95","67.0","67.45","RMA"
"Canadian Dollar (CAD)","CAD","67.60","69.50","68.52","69.01","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.71","14.81","RMA"
"OEuro (EURO)","EUR","108.45","111.50","109.94","110.68","RMA"
"Hongkong Dollar (HKD)","HKD","11.80","12.10","11.95","12.03","RMA"
"Japanese Yen 100 (JPY)","JPY","57.95","59.55","58.72","59.13","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.08","10.16","RMA"
"Pound Sterling (GBP)","GBP","124.80","128.25","126.51","127.34","RMA"
"Singapore Dollar (SGD)","SGD","72.50","74.55","73.46","74.01","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.21","10.28","RMA"
"Swiss Franc (CHF)","CHF","118.20","121.50","119.78","120.65","RMA"
"US Dollar (USD)","USD","92.40","95.30","93.57","94.22","RMA"
