"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.45","69.35","68.38","68.83","RMA"
"Canadian Dollar (CAD)","CAD","68.25","70.15","69.16","69.65","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.87","14.98","RMA"
"OEuro (EURO)","EUR","109.65","112.70","111.13","111.89","RMA"
"Hongkong Dollar (HKD)","HKD","12.00","12.35","12.18","12.27","RMA"
"Japanese Yen 100 (JPY)","JPY","59.15","60.80","59.97","60.39","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.31","10.39","RMA"
"Pound Sterling (GBP)","GBP","127.00","130.50","128.71","129.57","RMA"
"Singapore Dollar (SGD)","SGD","73.70","75.80","74.68","75.24","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.26","10.34","RMA"
"Swiss Franc (CHF)","CHF","120.05","123.45","121.69","122.56","RMA"
"US Dollar (USD)","USD","94.25","97.20","95.45","96.11","RMA"
