"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","66.05","67.85","66.94","67.38","RMA"
"Canadian Dollar (CAD)","CAD","66.95","68.85","67.88","68.37","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.64","14.75","RMA"
"OEuro (EURO)","EUR","108.00","111.00","109.48","110.22","RMA"
"Hongkong Dollar (HKD)","HKD","11.95","12.30","12.13","12.22","RMA"
"Japanese Yen 100 (JPY)","JPY","58.70","60.35","59.48","59.91","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.99","10.06","RMA"
"Pound Sterling (GBP)","GBP","126.30","129.75","128.01","128.83","RMA"
"Singapore Dollar (SGD)","SGD","73.15","75.25","74.13","74.69","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.97","10.04","RMA"
"Swiss Franc (CHF)","CHF","116.10","119.40","117.67","118.56","RMA"
"US Dollar (USD)","USD","93.95","96.90","95.15","95.81","RMA"
